timestamp,Actual,Prediction
2021-09-25 07:00:00,0.0,0.0275509
2021-09-25 08:00:00,0.0,0.0
2021-09-25 09:00:00,0.0,0.10693
2021-09-25 10:00:00,0.1,0.377876
2021-09-25 11:00:00,0.0,0.411017
2021-09-25 12:00:00,0.0,0.477959
2021-09-25 13:00:00,0.1,0.388057
2021-09-25 14:00:00,0.0,0.239715
2021-09-25 15:00:00,0.2,0.216247
2021-09-25 16:00:00,0.2,0.100838
2021-09-25 17:00:00,0.0,0.0
2021-09-25 18:00:00,0.0,0.0
2021-09-25 19:00:00,0.0,0.0
2021-09-25 20:00:00,0.0,0.0
2021-09-25 21:00:00,0.0,0.00340786
2021-09-25 22:00:00,0.0,0.0135792
2021-09-25 23:00:00,0.0,0.0103042
2021-09-26 00:00:00,0.0,0.0
2021-09-26 01:00:00,0.0,0.0
2021-09-26 02:00:00,0.0,0.0
2021-09-26 03:00:00,0.0,0.0
2021-09-26 04:00:00,0.0,0.0
2021-09-26 05:00:00,0.0,0.0
2021-09-26 06:00:00,0.0,0.0
2021-09-26 07:00:00,0.0,0.0
2021-09-26 08:00:00,0.0,0.0
2021-09-26 09:00:00,0.1,0.105839
2021-09-26 10:00:00,0.1,0.422219
2021-09-26 11:00:00,0.3,0.556711
2021-09-26 12:00:00,0.3,0.464201
2021-09-26 13:00:00,0.1,0.499132
2021-09-26 14:00:00,0.2,0.374407
2021-09-26 15:00:00,0.0,0.160597
2021-09-26 16:00:00,0.1,0.0877359
2021-09-26 17:00:00,0.0,0.0
2021-09-26 18:00:00,0.0,0.0
2021-09-26 19:00:00,0.0,0.0
2021-09-26 20:00:00,0.0,0.0
2021-09-26 21:00:00,0.0,0.0
2021-09-26 22:00:00,0.0,0.0
2021-09-26 23:00:00,0.0,0.0
2021-09-27 00:00:00,0.0,0.0
2021-09-27 01:00:00,0.0,0.0
2021-09-27 02:00:00,0.0,0.0
2021-09-27 03:00:00,0.0,0.0
2021-09-27 04:00:00,0.0,0.0463384
2021-09-27 05:00:00,0.0,0.0088206
2021-09-27 06:00:00,0.0,0.00965468
2021-09-27 07:00:00,0.0,0.0437808
2021-09-27 08:00:00,0.0,0.169567
2021-09-27 09:00:00,0.0,0.434039
2021-09-27 10:00:00,0.1,0.692603
2021-09-27 11:00:00,0.3,1.04592
2021-09-27 12:00:00,0.4,1.24127
2021-09-27 13:00:00,0.2,0.867527
2021-09-27 14:00:00,0.3,0.987634
2021-09-27 15:00:00,0.3,1.00974
2021-09-27 16:00:00,0.2,0.558335
2021-09-27 17:00:00,0.0,0.393751
2021-09-27 18:00:00,0.0,0.100567
2021-09-27 19:00:00,0.0,0.0315505
2021-09-27 20:00:00,0.0,0.0244265
2021-09-27 21:00:00,0.0,0.0200114
2021-09-27 22:00:00,0.0,0.0168324
2021-09-27 23:00:00,0.0,0.0139731
2021-09-28 00:00:00,0.0,0.0102671
2021-09-28 01:00:00,0.0,0.0101101
2021-09-28 02:00:00,0.0,0.00956407
2021-09-28 03:00:00,0.0,0.00941721
2021-09-28 04:00:00,0.0,0.00823683
2021-09-28 05:00:00,0.0,0.00880287
2021-09-28 06:00:00,0.0,0.00964349
2021-09-28 07:00:00,0.0,0.0156371
2021-09-28 08:00:00,0.0,0.0260018
2021-09-28 09:00:00,0.1,0.108803
2021-09-28 10:00:00,0.1,0.0415324
2021-09-28 11:00:00,0.1,0.0535604
2021-09-28 12:00:00,0.1,0.244083
2021-09-28 13:00:00,0.1,0.0
2021-09-28 14:00:00,0.0,0.119095
2021-09-28 15:00:00,0.0,0.235954
2021-09-28 16:00:00,0.0,0.197086
2021-09-28 17:00:00,0.0,0.0899146
2021-09-28 18:00:00,0.0,0.0494299
2021-09-28 19:00:00,0.0,0.0294682
2021-09-28 20:00:00,0.0,0.0243391
2021-09-28 21:00:00,0.0,0.0199205
2021-09-28 22:00:00,0.0,0.0167587
2021-09-28 23:00:00,0.0,0.0124625
2021-09-29 00:00:00,0.0,0.0102566
2021-09-29 01:00:00,0.0,0.0100871
2021-09-29 02:00:00,0.0,0.00953099
2021-09-29 03:00:00,0.0,0.00939052
2021-09-29 04:00:00,0.0,0.00834187
2021-09-29 05:00:00,0.0,0.0112921
2021-09-29 06:00:00,0.0,0.0305259
2021-09-29 07:00:00,0.0,0.0258791
2021-09-29 08:00:00,0.0,0.119579
2021-09-29 09:00:00,0.0,0.28375
2021-09-29 10:00:00,0.0,0.457321
2021-09-29 11:00:00,0.2,0.528545
2021-09-29 12:00:00,0.4,0.566854
2021-09-29 13:00:00,0.3,0.5168
2021-09-29 14:00:00,0.3,0.43301
2021-09-29 15:00:00,0.0,0.308205
2021-09-29 16:00:00,0.1,0.234354
2021-09-29 17:00:00,0.1,0.164788
2021-09-29 18:00:00,0.0,0.0612666
2021-09-29 19:00:00,0.0,0.0371574
2021-09-29 20:00:00,0.0,0.0455617
2021-09-29 21:00:00,0.0,0.0383336
2021-09-29 22:00:00,0.0,0.0255004
2021-09-29 23:00:00,0.0,0.0214024
2021-09-30 00:00:00,0.0,0.0187098
2021-09-30 01:00:00,0.0,0.0167437
2021-09-30 02:00:00,0.0,0.0124336
2021-09-30 03:00:00,0.0,0.0123228
2021-09-30 04:00:00,0.0,0.0204651
2021-09-30 05:00:00,0.0,0.0118851
2021-09-30 06:00:00,0.0,0.0159482
2021-09-30 07:00:00,0.0,0.0133683
2021-09-30 08:00:00,0.0,0.0
2021-09-30 09:00:00,0.0,0.0343077
2021-09-30 10:00:00,0.0,0.187377
2021-09-30 11:00:00,0.0,0.259404
2021-09-30 12:00:00,0.1,0.338907
2021-09-30 13:00:00,0.2,0.434384
2021-09-30 14:00:00,0.1,0.345394
2021-09-30 15:00:00,0.1,0.363831
2021-09-30 16:00:00,0.0,0.226082
2021-09-30 17:00:00,0.0,0.127893
2021-09-30 18:00:00,0.0,0.0527145
2021-09-30 19:00:00,0.0,0.0
2021-09-30 20:00:00,0.0,0.00560107
2021-09-30 21:00:00,0.0,0.0194815
2021-09-30 22:00:00,0.0,0.0296897
2021-09-30 23:00:00,0.0,0.0276865
2021-10-01 00:00:00,0.0,0.0280116
2021-10-01 01:00:00,0.0,0.0259475
2021-10-01 02:00:00,0.0,0.0211209
2021-10-01 03:00:00,0.0,0.0213364
2021-10-01 04:00:00,0.0,0.0162676
